"i" "test.power"
"794" 794 0.2461992
"795" 795 0.403676
"796" 796 0.4304516
"797" 797 0.3871114
"798" 798 0.3206263
"799" 799 0.4284093
"800" 800 0.1030179
"801" 801 0.2253233
"802" 802 0.2126163
"803" 803 0.3036079
"804" 804 0.4810529
"805" 805 0.195371
"806" 806 0.3260722
"807" 807 0.2609485
"808" 808 0.1100522
"809" 809 0.4415702
"810" 810 0.3732698
"811" 811 0.1109598
"812" 812 0.09008396
"813" 813 0.1021103
"814" 814 0.4495121
"815" 815 0.1316088
"816" 816 0.1463581
"817" 817 0.2997504
"818" 818 0.3621511
"819" 819 0.1511232
"820" 820 0.2058089
"821" 821 0.4295439
"822" 822 0.3551169
"823" 823 0.4299977
"824" 824 0.09008396
"825" 825 0.1797141
"826" 826 0.1459042
"827" 827 0.4127524
"828" 828 0.3142727
"829" 829 0.3841616
"830" 830 0.3092807
"831" 831 0.3358294
"832" 832 0.3948264
"833" 833 0.1881098
"834" 834 0.05196279
"835" 835 0.3095076
"836" 836 0.1715453
"837" 837 0.4905832
"838" 838 0.1531654
"839" 839 0.2663944
"840" 840 0.4186521
"841" 841 0.2046744
"842" 842 0.3340141
"843" 843 0.2616292
"844" 844 0.3131382
"845" 845 0.1071023
"846" 846 0.4234173
"847" 847 0.1910597
"848" 848 0.1282051
"849" 849 0.1647379
"850" 850 0.4120717
"851" 851 0.3859769
"852" 852 0.08622646
"853" 853 0.1533923
"854" 854 0.1946903
"855" 855 0.3455866
"856" 856 0.3916496
"857" 857 0.3857499
"858" 858 0.3297027
"859" 859 0.4452008
"860" 860 0.3312911
"861" 861 0.3816655
"862" 862 0.4492852
"863" 863 0.05536646
"864" 864 0.2539142
"865" 865 0.3746313
"866" 866 0.1418198
"867" 867 0.452462
"868" 868 0.3183572
"869" 869 0.3678239
"870" 870 0.4261402
"871" 871 0.3873383
"872" 872 0.136374
"873" 873 0.4238711
"874" 874 0.3868845
"875" 875 0.3528477
"876" 876 0.1216247
"877" 877 0.3449058
"878" 878 0.4424779
"879" 879 0.4186521
"880" 880 0.08146131
"881" 881 0.439528
"882" 882 0.2203313
"883" 883 0.4023145
"884" 884 0.1402314
"885" 885 0.02359882
"886" 886 0.377808
"887" 887 0.2856819
"888" 888 0.4118448
"889" 889 0.4141139
"890" 890 0.2668482
"891" 891 0.1631495
"892" 892 0.04628999
"893" 893 0.4154754
"894" 894 0.3512594
"895" 895 0.2829589
"896" 896 0.3998185
"897" 897 0.4229635
"898" 898 0.172226
"899" 899 0.1586113
"900" 900 0.0542319
"901" 901 0.3344679
"902" 902 0.4070796
"903" 903 0.4000454
"904" 904 0.4302246
"905" 905 0.3875652
"906" 906 0.3464942
"907" 907 0.04334014
"908" 908 0.3217608
"909" 909 0.09552984
"910" 910 0.3542092
"911" 911 0.4245518
"912" 912 0.3172226
"913" 913 0.32403
"914" 914 0.3998185
"915" 915 0.4066258
"916" 916 0.3846154
