"i" "test.power"
"430" 430 0.474949
"431" 431 0.5329857
"432" 432 0.5245976
"433" 433 0.4311947
"434" 434 0.4296078
"435" 435 0.5391068
"436" 436 0.4355022
"437" 437 0.5171163
"438" 438 0.5105418
"439" 439 0.4148719
"440" 440 0.5436409
"441" 441 0.4808433
"442" 442 0.4706416
"443" 443 0.528905
"444" 444 0.4128316
"445" 445 0.4887781
"446" 446 0.5180231
"447" 447 0.4282476
"448" 448 0.5153027
"449" 449 0.4101111
"450" 450 0.4645205
"451" 451 0.5425074
"452" 452 0.5193834
"453" 453 0.4166856
"454" 454 0.5055543
"455" 455 0.4704149
"456" 456 0.4391294
"457" 457 0.4948991
"458" 458 0.4969395
"459" 459 0.5094083
"460" 460 0.5334391
"461" 461 0.5103151
"462" 462 0.4731353
"463" 463 0.517343
"464" 464 0.5048742
"465" 465 0.5313988
"466" 466 0.5357062
"467" 467 0.5508955
"468" 468 0.5259578
"469" 469 0.5334391
"470" 470 0.4837905
"471" 471 0.5082748
"472" 472 0.4640671
"473" 473 0.5053276
"474" 474 0.5445477
"475" 475 0.5431875
"476" 476 0.4024031
"477" 477 0.5447744
"478" 478 0.5363863
"479" 479 0.5345727
"480" 480 0.3790524
"481" 481 0.4509182
"482" 482 0.4434369
"483" 483 0.5026071
"484" 484 0.4273407
"485" 485 0.4928588
"486" 486 0.5182498
"487" 487 0.5320789
"488" 488 0.4717751
"489" 489 0.4969395
"490" 490 0.3922013
"491" 491 0.3833598
"492" 492 0.3468601
"493" 493 0.4778962
"494" 494 0.5298118
"495" 495 0.5078214
"496" 496 0.4801632
"497" 497 0.4361823
"498" 498 0.4740422
"499" 499 0.5409204
"500" 500 0.5400136
"501" 501 0.5431875
"502" 502 0.5454545
"503" 503 0.5221038
"504" 504 0.5286783
"505" 505 0.4842439
"506" 506 0.5107685
"507" 507 0.5060077
"508" 508 0.5205169
"509" 509 0.5626842
"510" 510 0.5270914
"511" 511 0.5073679
"512" 512 0.4815235
"513" 513 0.5207436
"514" 514 0.4853775
"515" 515 0.4862843
"516" 516 0.4645205
"517" 517 0.526638
"518" 518 0.5386534
"519" 519 0.4334618
"520" 520 0.5085015
"521" 521 0.4860576
"522" 522 0.5479483
"523" 523 0.5155294
"524" 524 0.4989798
"525" 525 0.5198368
"526" 526 0.5189299
"527" 527 0.4334618
"528" 528 0.5334391
"529" 529 0.4985264
"530" 530 0.5409204
"531" 531 0.5189299
"532" 532 0.5336658
"533" 533 0.4250737
"534" 534 0.530492
"535" 535 0.4754024
"536" 536 0.5320789
"537" 537 0.5225572
"538" 538 0.5171163
"539" 539 0.4994332
"540" 540 0.5325323
"541" 541 0.5427341
"542" 542 0.4531852
"543" 543 0.5354795
"544" 544 0.5377465
"545" 545 0.5245976
"546" 546 0.4670143
"547" 547 0.5313988
