"c.0.0018018018018018..0.0288288288288288..0..0..0..0..0..0..0.." "c.0..0..0.0216216216216216..0..0..0.00900900900900901..0..0.."
"242" 0 0.12972972972973
"243" 0.0234234234234234 0
"244" 0 0.0288288288288288
"245" 0 0.00540540540540541
"246" 0 0
"247" 0.0108108108108108 0.459459459459459
"248" 0 0
"249" 0 0.140540540540541
"250" 0 0.00900900900900901
"251" 0 0
"252" 0 0
"253" 0.0036036036036036 0
"254" 0 0.00540540540540541
"255" 0 0.0036036036036036
"256" 0 0.0504504504504504
"257" 0 0
"258" 0.0396396396396396 0.0018018018018018
"259" 0 0
"260" 0 0.036036036036036
"261" 0.0522522522522523 0.0216216216216216
"262" 0.0666666666666667 0.111711711711712
"263" 0 0
"264" 0 0
"265" 0.00900900900900901 0.264864864864865
"266" 0 0
"267" 0 0.0252252252252252
"268" 0 0
"269" 0 0
"270" 0.0126126126126126 0.126126126126126
"271" 0 0
"272" 0 0
"273" 0 0.00900900900900901
"274" 0 0
"275" 0 0
"276" 0 0
"277" 0 0
"278" 0 0
"279" 0 0.0144144144144144
"280" 0 0
"281" 0 0
"282" 0.0018018018018018 0.0108108108108108
"283" 0 0
"284" 0 0
"285" 0 0
"286" 0 0.363963963963964
"287" 0 0
"288" 0 0
"289" 0 0.0954954954954955
"290" 0 0.0468468468468468
"291" 0 0
"292" 0 0.00720720720720721
"293" 0 0.00720720720720721
"294" 0 0
"295" 0 0.0252252252252252
"296" 0 0.00720720720720721
"297" 0 0
"298" 0.0036036036036036 0.00540540540540541
"299" 0.00900900900900901 0.0396396396396396
"300" 0 0.0288288288288288
"301" 0 0
"302" 0 0.0306306306306306
"303" 0 0
"304" 0 0
"305" 0 0.0342342342342342
"306" 0 0
"307" 0.00900900900900901 0.00540540540540541
"308" 0 0.0522522522522523
"309" 0.0648648648648649 0.488288288288288
"310" 0 0
"311" 0 0
"312" 0 0
"313" 0 0.00720720720720721
"314" 0 0
"315" 0 0.108108108108108
"316" 0.0018018018018018 0
"317" 0 0.0576576576576577
"318" 0 0.0126126126126126
"319" 0 0
"320" 0.00900900900900901 0.0252252252252252
"321" 0 0
"322" 0 0.0036036036036036
"323" 0.225225225225225 0
"324" 0 0
"325" 0 0.00540540540540541
"326" 0 0
"327" 0 0
"328" 0 0
