i yellow olivedrab orange cyan
347 0 0 0.004987531 0
348 0 0 0 0.0004534119
349 0 0 0 0
350 0 0 0 0.01450918
351 0 0 0.005214237 0
352 0 0 0.03309907 0.02448424
353 0 0 0 0
354 0 0 0 0
355 0 0 0 0
356 0.006801179 0 0 0.03196554
357 0 0 0.004760825 0.01088189
358 0.0798005 0 0 0.0607572
359 0 0 0 0
360 0 0 0.005894355 0
361 0 0 0.01201542 0.007708003
362 0 0 0 0
363 0 0 0.01337565 0
364 0.09158921 0 0 0.2217184
365 0 0 0 0.05191567
366 0 0 0 0
367 0 0.08116073 0.07050555 0.005214237
368 0 0 0 0.00226706
369 0 0 0.0151893 0.05849014
370 0 0 0 0
371 0 0 0.003627295 0.0532759
372 0 0 0.003400589 0.006121061
373 0 0 0.002493766 0
374 0 0 0 0
375 0 0 0.002040354 0.03196554
376 0.07481297 0 0.004080707 0.01609612
377 0 0 0 0
378 0 0 0 0
379 0 0 0.2217184 0
380 0 0 0.001360236 0.001813648
381 0 0 0 0
382 0 0 0.009294944 0
383 0 0 0 0
384 0 0 0 0
385 0.0004534119 0 0.2387214 0.004534119
386 0.003173883 0 0.07163908 0.03649966
387 0.06121061 0 0 0.03173883
388 0 0 0 0
389 0 0 0.003854001 0
390 0 0 0 0
391 0 0 0.004987531 0.004080707
392 0 0 0 0
393 0 0 0 0
394 0 0 0 0
395 0 0 0 0.01677624
396 0.01405577 0 0 0.05191567
397 0 0 0 0.004534119
398 0 0 0 0
399 0 0 0 0
400 0 0 0 0
401 0 0 0 0.03627295
402 0 0 0 0
403 0 0 0 0
404 0 0 0 0
405 0 0 0 0
406 0 0 0 0
407 0 0 0.02743142 0.004307413
408 0 0 0.02561777 0.01927001
409 0 0 0.003854001 0.0267513
410 0 0 0.003173883 0
411 0 0 0 0.02380413
412 0 0 0 0
413 0 0 0 0.02924507
414 0 0 0 0
415 0 0 0.00226706 0
416 0 0 0.01722965 0.02199048
417 0 0 0.004760825 0.003173883
418 0 0 0 0
419 0 0 0.01246883 0
420 0 0 0 0
421 0 0 0 0.004080707
422 0 0 0.007254591 0.005440943
423 0 0 0.005667649 0.003854001
424 0 0 0 0.00113353
425 0 0 0 0
426 0 0 0.02425754 0
427 0 0 0.002720472 0
428 0.002493766 0 0 0.01428248
429 0 0 0 0
430 0 0 0 0
431 0 0 0 0
432 0 0 0 0
433 0 0 0 0.005440943
434 0 0 0.2688733 0
435 0 0 0.02516436 0.003400589
436 0 0 0.005214237 0
437 0 0 0 0.01722965
438 0.01042847 0 0 0.01745636
439 0 0 0 0
440 0 0 0.01496259 0.005214237
441 0 0 0 0
442 0 0 0 0
443 0 0 0.002720472 0
444 0 0 0 0
445 0 0 0.0609839 0.01836318
446 0 0 0 0.0265246
447 0 0 0.005214237 0.04670143
448 0 0 0.001586942 0
449 0 0 0 0
450 0 0 0.01813648 0.02380413
451 0 0 0.003627295 0.007934709
452 0 0 0.005667649 0.008614827
453 0 0 0 0
454 0.02425754 0 0.004534119 0.0378599
455 0 0 0.0006801179 0
456 0 0 0 0
457 0 0 0 0
458 0 0 0 0
459 0.06370438 0 0 0
460 0.006347767 0 0.1482657 0.02153707
461 0 0 0 0.002720472
462 0 0 0 0
463 0 0 0.05554296 0
464 0 0 0 0
465 0 0 0 0
466 0 0 0 0.01700295
467 0 0 0 0
468 0 0 0 0
469 0 0 0 0
470 0 0 0 0
471 0 0 0 0
472 0 0 0 0.2278395
473 0 0 0.002040354 0.2947178
474 0 0 0.03400589 0.008161415
475 0 0 0 0
476 0 0 0 0
477 0.06914532 0 0 0.04262072
478 0 0 0 0
479 0 0 0.004534119 0
480 0 0 0 0
481 0 0 0 0
482 0 0 0.0455679 0.007027885
483 0 0 0 0.01496259
484 0 0 0 0.002720472
485 0 0 0 0.006347767
486 0 0 0 0
487 0 0 0 0
488 0 0 0 0.004080707
489 0 0 0.003627295 0
490 0.004307413 0 0 0
491 0 0 0 0
492 0 0 0 0.004760825
493 0 0 0 0.003854001
494 0 0 0 0.00226706
495 0.09839039 0 0.0004534119 0.05395602
496 0 0 0.0265246 0
497 0 0.008614827 0.06189073 0.005440943
498 0 0 0 0
499 0 0 0.02516436 0.03400589
500 0 0 0 0
