i yellow olivedrab orange cyan
396 0 0 0 0.2269327
397 0 0 0 0
398 0 0 0 0
399 0 0 0 0
400 0 0 0 0
401 0 0 0 0.01768307
402 0 0 0 0
403 0 0 0 0
404 0 0 0 0
405 0 0 0 0.001813648
406 0 0 0 0
407 0 0.05531625 0.01337565 0
408 0 0 0 0.0006801179
409 0 0 0 0.01088189
410 0 0 0 0
411 0 0 0 0.02743142
412 0 0 0 0
413 0 0 0 0.02085695
414 0 0 0 0
415 0 0 0 0
416 0 0 0 0.002947178
417 0 0 0 0
418 0 0 0 0.01405577
419 0 0 0 0
420 0 0 0 0
421 0 0 0 0
422 0 0 0 0
423 0 0 0 0.002720472
424 0 0 0 0.003627295
425 0 0 0 0.006121061
426 0 0 0 0
427 0 0 0 0
428 0 0 0 0.005667649
429 0.005894355 0 0 0.001360236
430 0 0 0 0
431 0 0 0 0
432 0 0 0 0
433 0 0.001360236 0 0
434 0 0.1704829 0.1818182 0
435 0 0 0 0
436 0 0.01292224 0 0
437 0 0 0 0.001813648
438 0.04760825 0 0 0.02380413
439 0 0 0 0
440 0 0 0 0
441 0 0 0 0
442 0 0 0 0.004307413
443 0 0 0 0.03672637
444 0 0 0 0
445 0 0.02924507 0.02969848 0.005214237
446 0 0 0 0.01246883
447 0 0 0 0.02833825
448 0 0 0 0
449 0 0 0 0
450 0 0 0 0.004080707
451 0 0 0 0
452 0 0.04398096 0 0
453 0 0 0 0
454 0.01314895 0 0 0.0226706
455 0 0 0 0
456 0 0 0 0
457 0 0 0 0
458 0 0.003400589 0 0
459 0 0 0 0.2178644
460 0.004987531 0 0.01700295 0.02901836
461 0 0 0 0
462 0 0 0 0
463 0 0 0.01972342 0
464 0 0 0 0.003854001
465 0 0 0 0
466 0 0 0 0.02040354
467 0 0 0 0
468 0 0 0 0
469 0 0 0 0
470 0 0 0 0
471 0 0 0 0
472 0 0 0 0.1026978
473 0 0 0 0.2824756
474 0 0.007708003 0.002720472 0
475 0 0 0 0
476 0 0 0 0
477 0.01813648 0 0 0.02811154
478 0 0 0 0
479 0 0 0 0
480 0 0 0 0
481 0 0 0 0
482 0 0.06597144 0.02040354 0
483 0 0 0 0
484 0 0 0 0
485 0 0 0 0
486 0 0 0 0
487 0 0 0 0
488 0 0 0 0.005440943
489 0 0 0 0
490 0 0 0 0
491 0 0 0 0
492 0 0 0 0
493 0 0 0 0
494 0 0 0 0
495 0.08501474 0 0 0.05123555
496 0 0 0 0.007254591
497 0 0.09703015 0.03400589 0
498 0 0 0 0
499 0 0.003627295 0.005214237 0.004307413
500 0 0 0 0
501 0 0 0 0
502 0 0 0 0.003400589
503 0 0 0 0
504 0 0 0 0
505 0.06347767 0 0 0.06030379
506 0 0 0 0
507 0 0 0 0
508 0 0 0 0.2693267
509 0 0 0 0
510 0 0 0 0
511 0 0.03990025 0.01088189 0.04375425
512 0 0 0 0.02312401
513 0 0 0.005440943 0.005894355
514 0 0 0.01496259 0
515 0 0.009748356 0 0.00113353
516 0 0 0 0
517 0 0 0 0
518 0 0 0 0
519 0 0 0 0.02516436
520 0 0 0 0
521 0.1732034 0 0.01564271 0.06619814
522 0 0 0 0
523 0 0 0 0
524 0 0 0 0
525 0 0 0 0
526 0 0.07299932 0 0
527 0 0 0 0.01382906
528 0 0 0 0
529 0 0 0 0
530 0 0 0 0.007708003
531 0 0 0 0
532 0 0 0 0.01224212
533 0 0 0 0.2126502
534 0 0 0 0
535 0 0 0 0
536 0 0 0 0.1586942
537 0 0.01405577 0 0
538 0 0 0 0
539 0 0 0 0.001813648
540 0 0 0 0
541 0 0.004080707 0 0
542 0 0 0 0
543 0 0 0 0
544 0 0 0 0
545 0 0 0 0
546 0 0 0 0
547 0 0 0 0
548 0 0 0 0
549 0.04783496 0 0 0.007934709
550 0 0 0 0
551 0 0.03173883 0 0
552 0 0 0 0.01790977
553 0.1190206 0 0 0.1119927
554 0 0 0 0
555 0 0 0 0.002493766
556 0 0 0 0
557 0 0 0 0.006121061
558 0 0 0 0
559 0 0.000226706 0 0
560 0 0 0 0.002493766
561 0 0.05667649 0 0
562 0 0 0 0
563 0 0 0 0
564 0 0 0 0
565 0 0 0 0
566 0 0 0 0
567 0 0 0 0
568 0 0 0 0
569 0 0 0 0
570 0 0 0 0
571 0 0 0 0
572 0 0 0 0
573 0 0 0 0
574 0 0 0 0.002720472
575 0 0 0 0
576 0 0 0 0
577 0 0 0 0
578 0 0 0 0
579 0 0 0 0.2661528
580 0 0 0 0
581 0 0.06982544 0 0
582 0 0 0 0.1677624
583 0 0 0 0.003400589
584 0 0 0 0.0004534119
585 0 0 0 0
586 0 0 0 0
587 0 0 0 0
588 0 0 0 0
589 0 0 0 0.000226706
590 0.005667649 0 0.2219451 0.003854001
591 0 0 0 0.01927001
592 0 0 0 0
593 0 0 0 0
594 0 0 0 0
595 0 0 0 0.1435049
596 0 0 0 0
597 0 0.04126049 0.02244389 0
598 0 0 0 0
599 0 0.04284743 0 0
600 0 0 0 0
