i typeI.0 typeI.2
448 0.002040354 0.04284743
449 0.02199048 0.04602131
450 0 0.03105872
451 0 0.00113353
452 0 0.002947178
453 0.0006801179 0.05871684
454 0.01768307 0.007708003
455 0 0.0190433
456 0 0.009975062
457 0.03445931 0.007708003
458 0.000226706 0.006121061
459 0 0.01632283
460 0 0.003173883
461 0.000226706 0.0004534119
462 0 0.008388121
463 0.01564271 0.0006801179
464 0 0.00113353
465 0 0.05939696
466 0.01269553 0.01110859
467 0 0.004080707
468 0.007708003 0.01450918
469 0.006574473 0.0006801179
470 0.003627295 0.003854001
471 0 0.0006801179
472 0.001813648 0.0684652
473 0.01201542 0.140331
474 0.02335071 0.01722965
475 0.02063024 0.005667649
476 0.000226706 0.004987531
477 0 0.01836318
478 0 0.001586942
479 0.006121061 0.01609612
480 0 0.004080707
481 0 0.04738155
482 0.1183405 0.0646112
483 0 0.1333031
484 0 0.2967581
485 0 0.01858989
486 0.02901836 0.0455679
487 0 0.01632283
488 0.007708003 0.01586942
489 0 0.02176377
490 0 0.06257085
491 0 0.002493766
492 0 0.02448424
493 0 0.08048062
494 0 0
495 0 0.02901836
496 0.01813648 0.001813648
497 0 0
498 0 0.02584448
499 0 0.02788483
500 0.01813648 0.09907051
501 0.002947178 0.005214237
502 0 0.00113353
503 0 0.004987531
504 0 0.02811154
505 0.0006801179 0.1181138
506 0.0004534119 0.02153707
507 0 0.05667649
508 0 0.008614827
509 0 0.003627295
510 0 0.02380413
511 0.03672637 0.08773521
512 0.02085695 0.01722965
513 0.005214237 0.0006801179
514 0 0.01269553
515 0.0004534119 0
516 0.00226706 0.05123555
517 0 0.006121061
518 0.006801179 0.07866697
519 0 0.006574473
520 0.01178871 0.007481297
521 0 0.009294944
522 0.03015189 0.08342779
523 0 0.00952165
524 0 0.02063024
525 0.0004534119 0.01246883
526 0 0.0004534119
527 0.001813648 0.009748356
528 0.03377919 0.09408297
529 0 0.01360236
530 0 0.006347767
531 0 0.005667649
532 0 0.04624802
533 0 0.02856495
534 0 0.00226706
535 0 0.005214237
536 0 0.0006801179
537 0.004760825 0.04602131
538 0 0.009748356
539 0 0.005214237
540 0.006801179 0.04670143
541 0.001813648 0.02176377
542 0.0004534119 0.007027885
543 0 0.1457719
544 0.0009068238 0.02788483
545 0 0.00952165
546 0 0.01677624
547 0 0.02992519
548 0 0.06121061
549 0.01700295 0.02153707
550 0.007254591 0.03445931
551 0 0.01201542
552 0 0.01858989
553 0 0.1283156
554 0.02584448 0.01745636
555 0.04987531 0.009748356
556 0.0006801179 0.0006801179
557 0 0
558 0 0.01269553
559 0.002947178 0.04443437
560 0 0
561 0 0.02153707
562 0.03559284 0
563 0 0.004987531
564 0.00113353 0.03695307
565 0 0.005894355
566 0.003400589 0.003173883
567 0.0006801179 0.005667649
568 0 0.006121061
569 0 0.0228973
570 0 0
571 0 0.02153707
572 0.0417139 0.02901836
573 0.005214237 0.000226706
574 0.0009068238 0.02176377
575 0.05849014 0.2774881
576 0.04624802 0.04466107
577 0 0.006574473
578 0.0006801179 0.01972342
579 0 0.02539107
580 0 0.0151893
581 0 0.009975062
582 0 0.00113353
583 0.02040354 0.01790977
584 0 0.001813648
585 0 0.04398096
586 0.0009068238 0.03128542
587 0 0.04307413
588 0.003173883 0.01564271
589 0.001360236 0.02539107
590 0 0.02561777
591 0 0.007708003
592 0.04534119 0.02607119
593 0 0.03377919
594 0.003400589 0.0009068238
595 0.009068238 0.007027885
596 0 0.000226706
597 0.2437089 0.2530039
598 0.01428248 0.2223985
599 0.00113353 0.01337565
600 0 0.001586942
601 0.138744 0.01360236
602 0 0.003400589
603 0 0.01722965
604 0.001360236 0.011562
605 0.0306053 0.002493766
606 0 0.1260485
607 0.005894355 0.005214237
608 0.001360236 0.002493766
609 0.001813648 0.01178871
610 0 0.008388121
611 0.01065518 0.02312401
612 0.02969848 0.3139878
613 0 0.008614827
614 0 0.02040354
615 0 0.004987531
616 0 0.01609612
617 0 0.1128996
618 0.008388121 0.0306053
619 0.002947178 0.0113353
620 0 0.009748356
621 0.03967354 0.01065518
622 0.007027885 0.0226706
623 0 0.07934709
624 0.02221718 0.09544321
625 0.001586942 0.01632283
626 0.04080707 0.04239401
627 0 0.005214237
628 0 0.01337565
629 0 0.08342779
630 0.01065518 0.01995012
631 0.0004534119 0.009068238
632 0 0.006121061
633 0.006801179 0.1457719
634 0 0.003854001
635 0 0.008614827
636 0 0
637 0 0.003400589
638 0 0.01201542
639 0 0.0151893
640 0.005214237 0.07277261
641 0.01382906 0.04806166
642 0.009068238 0.005667649
643 0.008161415 0.03105872
644 0.01496259 0.03672637
645 0.003400589 0.0151893
646 0.3409658 0.2595783
647 0 0
648 0.01654954 0.06053049
649 0 0.1144865
650 0 0.000226706
651 0.000226706 0.0265246
652 0 0
653 0.03876672 0.0607572
654 0 0.02539107
655 0 0.004987531
656 0 0.02017683
657 0 0.005214237
658 0.01337565 0.04262072
659 0.01314895 0.1054183
660 0 0.03173883
661 0.04534119 0.03445931
662 0.004534119 0.006121061
663 0 0.02244389
664 0.02471095 0.1063251
665 0 0.006801179
666 0 0
667 0 0.04012696
668 0.06982544 0.03105872
669 0 0.01360236
670 0.02879166 0.01745636
671 0 0.00226706
672 0.006574473 0.003400589
673 0 0.004760825
674 0 0
675 0.0006801179 0.0004534119
676 0 0.1652686
677 0.0004534119 0.004307413
678 0 0.0419406
679 0.03740648 0.2493766
680 0 0.03151213
681 0 0.03196554
682 0 0.005214237
683 0 0.05962367
684 0.0004534119 0.1031512
685 0 0.00226706
686 0 0.006347767
687 0 0.01292224
688 0 0.07367944
689 0.02244389 0.08614827
690 0 0.005667649
691 0.009294944 0.005214237
692 0 0.2246656
693 0 0.04624802
694 0.000226706 0.07503967
695 0 0.0006801179
696 0 0.0684652
697 0 0.01020177
698 0 0.008841533
699 0 0.006574473
700 0 0.009975062
701 0 0.02040354
702 0.009748356 0.06529132
703 0.008614827 0.0226706
704 0.006121061 0.001586942
705 0 0.03944684
706 0.0004534119 0.02561777
707 0 0.004987531
708 0 0.01314895
709 0.1410111 0.04058037
710 0 0.01972342
711 0 0.005214237
712 0 0.01949671
713 0.05508955 0.01405577
714 0.105645 0.3294038
715 0 0.3051462
716 0 0
717 0 0.005214237
718 0.05486284 0.08660168
719 0.0004534119 0.005440943
720 0 0.008841533
721 0 0.00226706
722 0 0.003627295
723 0.03649966 0.03922013
724 0.001586942 0.05917026
725 0.04670143 0.06937202
726 0.0006801179 0.01269553
727 0.000226706 0.01858989
728 0 0
729 0 0.004307413
730 0.06143732 0.02697801
731 0.002493766 0.006121061
732 0.02720472 0.08569485
733 0 0
734 0 0.004987531
735 0 0.006347767
736 0.000226706 0.05146225
737 0.1178871 0.07776015
738 0 0
739 0 0.01654954
740 0 0.01269553
741 0 0.00226706
742 0 0.00226706
743 0 0.02153707
744 0 0.008841533
745 0 0.0113353
746 0.0004534119 0.01881659
747 0.0684652 0.07435956
748 0 0.00113353
749 0.000226706 0.04783496
750 0.001586942 0.003627295
751 0.007708003 0.01473589
752 0 0.009294944
753 0.386307 0.2953979
754 0 0.04262072
755 0 0.07662662
756 0 0
757 0.009068238 0.3260032
758 0.01224212 0.004080707
759 0.05644978 0.01541601
760 0.001586942 0
761 0 0
762 0.002720472 0.001360236
763 0 0.005667649
764 0.007254591 0.02153707
765 0 0.05372931
766 0 0.002947178
767 0 0.000226706
768 0 0.01836318
769 0 0
770 0.02244389 0.03695307
771 0 0.004760825
772 0 0.02879166
773 0 0.2670596
774 0 0.001360236
775 0 0
776 0.007254591 0.3033326
777 0 0.00113353
778 0 0.00113353
779 0.002040354 0.01065518
780 0 0
781 0.01450918 0.1004307
782 0 0
783 0 0.001813648
784 0 0.0004534119
785 0 0
786 0.02017683 0.004307413
787 0 0.0113353
788 0 0.004534119
789 0.00113353 0.00113353
790 0.1203809 0.007934709
791 0 0
792 0 0.009975062
793 0.004534119 0.03219225
794 0 0.01201542
795 0.0006801179 0.01700295
796 0 0.03854001
797 0.001360236 0.005214237
798 0 0.001813648
799 0.001813648 0.1135797
800 0 0.000226706
801 0.002040354 0.01405577
802 0.007708003 0.01813648
803 0.002040354 0.1450918
804 0.0004534119 0.1469055
805 0 0.02788483
806 0.001360236 0.01292224
807 0 0.01337565
808 0 0.04602131
809 0 0.01881659
810 0 0.03332578
811 0 0.2842893
812 0.2561777 0.3253231
813 0 0.06121061
814 0 0.02108365
815 0 0.0006801179
816 0 0.003400589
817 0.0004534119 0.01224212
818 0.0004534119 0.01927001
819 0 0.05372931
820 0.0004534119 0.06483791
821 0.002720472 0
822 0.002493766 0.007708003
823 0.0009068238 0.03513942
824 0.0006801179 0.0306053
825 0 0
826 0 0.01224212
827 0 0.1822716
828 0.007027885 0.02448424
829 0.00113353 0.02697801
830 0 0.011562
831 0 0.0004534119
832 0 0.3053729
833 0 0.08660168
834 0.01722965 0.004987531
835 0.009068238 0.2808887
836 0.000226706 0.0609839
837 0 0.01314895
838 0 0.01881659
839 0 0.05576967
840 0 0.007708003
841 0 0.02516436
842 0 0.02720472
843 0 0
844 0 0
845 0 0.008841533
846 0 0.01632283
847 0 0.01972342
848 0 0.002493766
849 0.07639991 0.3228293
850 0 0.004307413
851 0 0.006574473
852 0 0.01541601
853 0.004307413 0.004534119
854 0 0.005440943
855 0.0006801179 0.0306053
856 0.001813648 0.03740648
857 0 0.01858989
858 0 0.03309907
859 0 0.000226706
860 0.0006801179 0.01836318
861 0 0.01927001
862 0 0.01745636
863 0 0.01972342
864 0.007708003 0.0190433
865 0 0.02425754
866 0.0006801179 0.02947178
867 0 0.02199048
868 0 0.007481297
869 0 0.004307413
870 0 0.007027885
871 0 0.1013376
872 0 0.02697801
873 0.1496259 0.03763319
874 0 0.01541601
875 0 0.003854001
876 0.03083201 0.02380413
877 0 0.005214237
878 0 0
879 0.02992519 0.005214237
880 0 0.006801179
881 0.2672863 0.353888
882 0.001813648 0.01246883
883 0 0.01677624
884 0.002493766 0.01201542
885 0 0.09476309
886 0 0.009748356
887 0.001360236 0.004080707
888 0 0.01042847
889 0 0.006801179
890 0.000226706 0.03717978
891 0 0
892 0 0.002493766
893 0 0.002947178
894 0.01790977 0.01110859
895 0.08818862 0.06642485
896 0 0.006347767
897 0 0.0004534119
898 0 0.08206756
899 0 0
900 0.0004534119 0.01722965
901 0.01473589 0.0911358
902 0.004987531 0.06370438
903 0 0.003854001
904 0.002040354 0.05214237
905 0.002040354 0.04352754
906 0 0.0455679
907 0 0.0378599
908 0 0.02856495
909 0 0.04080707
910 0 0.00226706
911 0 0.01110859
912 0.01428248 0.01790977
913 0.0004534119 0.004534119
914 0 0.01405577
915 0.2496033 0.3436862
916 0 0.001360236
917 0.001360236 0.008161415
918 0 0.008841533
919 0.0006801179 0.01881659
920 0.008614827 0.04330084
921 0 0.02788483
922 0.1131263 0.05985037
923 0.09340286 0.0800272
924 0.0004534119 0.004307413
925 0 0.03264566
926 0.0113353 0.1280889
927 0.008388121 0.08818862
928 0.09748356 0.0009068238
929 0 0.006574473
930 0 0.02697801
931 0.05917026 0.02176377
932 0 0.002040354
933 0.005667649 0.05531625
934 0 0.004534119
935 0.03400589 0.000226706
936 0 0.004534119
937 0.04896849 0.02720472
938 0 0.009294944
939 0.0228973 0.0417139
940 0 0.002493766
941 0.007027885 0.005894355
942 0 0.002720472
943 0.01836318 0.0457946
944 0.1165269 0.02425754
945 0 0.0004534119
946 0 0.006574473
947 0 0.01042847
948 0 0.01382906
949 0.08546815 0.02833825
950 0.207436 0.3452732
951 0 0.04828837
952 0.01360236 0.02969848
953 0.002040354 0.02199048
954 0.04216731 0.02924507
955 0 0.01042847
956 0 0.007481297
957 0.004080707 0.009294944
958 0.002493766 0.01314895
959 0.009068238 0.3080934
960 0.005214237 0.005214237
961 0.03967354 0.02131036
962 0.03831331 0.2384947
963 0.03173883 0.2749943
964 0.002040354 0.02221718
965 0.03241895 0.02788483
966 0 0.02584448
967 0 0.0190433
968 0.0006801179 0
969 0 0
970 0 0.002720472
971 0.1802312 0.1033779
972 0.000226706 0.01450918
973 0 0.009748356
974 0 0.002040354
975 0.03151213 0.01201542
976 0 0.01405577
977 0 0.00226706
978 0 0.007027885
979 0 0.004080707
980 0 0.006121061
981 0 0.003627295
982 0 0.05758331
983 0.01700295 0.03287236
984 0 0.0798005
985 0 0.01858989
986 0 0.3092269
987 0.005214237 0.06642485
988 0.001586942 0.2827023
989 0 0.01564271
990 0.01314895 0.04987531
991 0 0.02153707
992 0 0.03649966
993 0 0.01337565
994 0 0.007481297
995 0.0720925 0.03332578
996 0 0.01722965
997 0.001586942 0.01110859
998 0.0006801179 0.007934709
999 0.00226706 0.0009068238
1000 0 0.01269553
