"i" "typeI.0" "typeI.2"
"285" 529 0 0.1390969
"286" 530 0 0.0006807352
"287" 531 0 0.009303381
"288" 532 0 0.07896528
"289" 533 0.03017926 0.03880191
"290" 534 0 0.007034264
"291" 535 0 0.005899705
"292" 536 0 0.0002269117
"293" 537 0 0
"294" 538 0.0251872 0.008395734
"295" 539 0 0.0006807352
"296" 540 0 0.004538235
"297" 541 0 0.01906059
"298" 542 0 0.005899705
"299" 543 0 0
"300" 544 0.0329022 0
"301" 545 0 0.0004538235
"302" 546 0 0.0006807352
"303" 547 0.149081 0.3004311
"304" 548 0 0.02019514
"305" 549 0.01543 0.00521897
"306" 550 0.0006807352 0.02427956
"307" 551 0 0.0270025
"308" 552 0 0.07079646
"309" 553 0 0.07397322
"310" 554 0 0.01043794
"311" 555 0 0
"312" 556 0 0.0004538235
"313" 557 0 0.008168822
"314" 558 0.006353528 0.004992058
"315" 559 0.0329022 0.06739278
"316" 560 0 0
"317" 561 0 0.008168822
"318" 562 0 0.0002269117
"319" 563 0.06398911 0.002949853
"320" 564 0 0.0329022
"321" 565 0 0
"322" 566 0 0.02768323
"323" 567 0.004765146 0
"324" 568 0.05264352 0.03857499
"325" 569 0 0.04265941
"326" 570 0.01724529 0.0290447
"327" 571 0.004084411 0.008849558
"328" 572 0.06466984 0.004765146
"329" 573 0.01293397 0.0004538235
"330" 574 0.04855911 0.03993646
"331" 575 0 0.01406853
"332" 576 0.08872249 0.002496029
"333" 577 0 0.02087588
"334" 578 0.04719764 0.03244838
"335" 579 0 0.008395734
"336" 580 0 0.002042206
"337" 581 0 0
"338" 582 0 0.003176764
"339" 583 0.001134559 0.02382573
"340" 584 0 0.03744044
"341" 585 0 0.0009076469
"342" 586 0 0.001815294
"343" 587 0 0
"344" 588 0 0.002269117
"345" 589 0.0006807352 0.007034264
"346" 590 0.003403676 0.009303381
"347" 591 0 0.003176764
"348" 592 0 0.002496029
"349" 593 0 0
"350" 594 0.06466984 0.04152485
"351" 595 0.1316088 0.005672793
"352" 596 0 0.02405264
"353" 597 0 0
"354" 598 0 0
"355" 599 0.003176764 0.008849558
"356" 600 0 0.004992058
"357" 601 0 0
"358" 602 0 0.002722941
"359" 603 0.07692308 0.06035852
"360" 604 0 0.009303381
"361" 605 0.08078058 0.03970955
"362" 606 0.003857499 0.3072385
"363" 607 0.04923985 0.002949853
"364" 608 0.0002269117 0.06444293
"365" 609 0 0.002496029
"366" 610 0 0.03585205
"367" 611 0 0.01633764
"368" 612 0.1613342 0.3326526
"369" 613 0.007941911 0.02677558
"370" 614 0.001815294 0
"371" 615 0 0
"372" 616 0 0.01497617
"373" 617 0.02722941 0.0521897
"374" 618 0 0.02223735
"375" 619 0 0.009303381
"376" 620 0 0.0136147
"377" 621 0.03902882 0.005672793
"378" 622 0.006353528 0.009984116
"379" 623 0.001134559 0.05128205
"380" 624 0 0.002496029
"381" 625 0 0.005445882
"382" 626 0.02291808 0
"383" 627 0 0
"384" 628 0 0.0002269117
"385" 629 0.0002269117 0.03993646
"386" 630 0 0.001134559
"387" 631 0.002722941 0.0444747
"388" 632 0 0.008849558
"389" 633 0 0.0483322
"390" 634 0.0009076469 0.002722941
"391" 635 0 0.01202632
"392" 636 0.009530293 0.0580894
"393" 637 0 0.008622646
"394" 638 0 0.02223735
"395" 639 0.003630588 0.01611073
"396" 640 0.0115725 0.01406853
"397" 641 0 0.02586794
"398" 642 0.01134559 0.007034264
"399" 643 0.001134559 0.006807352
"400" 644 0 0.0444747
"401" 645 0.006126617 0.02768323
"402" 646 0.4070796 0.2641253
"403" 647 0 0.003630588
"404" 648 0 0.03721352
"405" 649 0 0.08259587
"406" 650 0 0.120717
"407" 651 0.0002269117 0.1266167
"408" 652 0.0006807352 0.01270706
"409" 653 0 0
"410" 654 0 0.02291808
"411" 655 0 0.0009076469
"412" 656 0 0
"413" 657 0.01996823 0.02291808
"414" 658 0.1785795 0.0521897
"415" 659 0.01089176 0.09802587
"416" 660 0 0.01429544
"417" 661 0.06013161 0.02427956
"418" 662 0 0
"419" 663 0 0.0006807352
"420" 664 0.05854323 0.1046063
"421" 665 0 0.3169957
"422" 666 0 0
"423" 667 0 0
"424" 668 0.02110279 0.04152485
"425" 669 0 0.002042206
"426" 670 0.004765146 0.001134559
"427" 671 0 0
"428" 672 0.00658044 0.02042206
"429" 673 0.1971863 0.06126617
"430" 674 0 0
"431" 675 0 0
"432" 676 0 0
"433" 677 0 0
"434" 678 0 0.07987293
"435" 679 0.08032675 0
"436" 680 0 0
"437" 681 0 0
"438" 682 0 0.004765146
"439" 683 0 0.01202632
"440" 684 0 0.01701838
"441" 685 0.1304742 0.04220558
"442" 686 0.002496029 0.004992058
"443" 687 0.002269117 0.08055366
"444" 688 0 0.007261175
"445" 689 0.0002269117 0.02791014
"446" 690 0 0.004992058
"447" 691 0.0192875 0.0009076469
"448" 692 0.01134559 0.004084411
"449" 693 0.001588382 0.03902882
"450" 694 0 0.02677558
"451" 695 0.002496029 0.00658044
"452" 696 0.06603131 0.3324257
"453" 697 0.0174722 0.01270706
"454" 698 0 0.00658044
"455" 699 0 0.001588382
"456" 700 0 0.007034264
"457" 701 0 0.001134559
"458" 702 0 0
"459" 703 0 0.009984116
"460" 704 0 0
"461" 705 0.002496029 0.002496029
"462" 706 0 0.03857499
"463" 707 0 0.007261175
"464" 708 0 0.00136147
"465" 709 0.009303381 0.02427956
"466" 710 0.005672793 0.02927161
"467" 711 0.007714999 0.01384162
"468" 712 0 0.0004538235
"469" 713 0.05831631 0.01134559
"470" 714 0 0.1520309
"471" 715 0 0.01860676
"472" 716 0 0.008168822
"473" 717 0 0
"474" 718 0.004992058 0.0773769
"475" 719 0.0004538235 0
"476" 720 0 0
"477" 721 0 0.001588382
"478" 722 0 0.01134559
"479" 723 0.0006807352 0.0503744
"480" 724 0.04356705 0.05627411
"481" 725 0.1484003 0.03449058
"482" 726 0.01429544 0.01701838
"483" 727 0 0.01565691
"484" 728 0.002949853 0.1756297
"485" 729 0 0.006126617
"486" 730 0 0.001588382
"487" 731 0 0.01202632
"488" 732 0.07011572 0.06217381
"489" 733 0 0
"490" 734 0 0
"491" 735 0 0
"492" 736 0.01111867 0.02246426
"493" 737 0 0.04606308
"494" 738 0 0.01406853
"495" 739 0 0.2963467
"496" 740 0.04606308 0.08236896
"497" 741 0.01769912 0.009530293
"498" 742 0 0.01316088
"499" 743 0 0.008622646
"500" 744 0 0.0004538235
"501" 745 0 0.009530293
"502" 746 0.00136147 0.02995235
"503" 747 0.006126617 0.008622646
"504" 748 0 0.007261175
"505" 749 0 0.01679147
"506" 750 0.01611073 0
"507" 751 0 0.04560926
"508" 752 0 0
"509" 753 0.3614704 0.02677558
"510" 754 0 0.1136828
"511" 755 0 0.02223735
"512" 756 0 0.0002269117
"513" 757 0.02473338 0.05967779
"514" 758 0 0
"515" 759 0.006126617 0.01792603
"516" 760 0 0.0009076469
"517" 761 0 0.00136147
"518" 762 0.004992058 0.05309735
"519" 763 0 0.2732017
"520" 764 0 0.004311323
"521" 765 0 0.001134559
"522" 766 0 0.2319038
"523" 767 0 0.002269117
"524" 768 0.00136147 0.00521897
"525" 769 0 0.0006807352
"526" 770 0 0.007261175
"527" 771 0 0.03267529
"528" 772 0 0.005445882
"529" 773 0.0004538235 0.009076469
"530" 774 0 0
"531" 775 0.01134559 0.002722941
"532" 776 0 0.001588382
"533" 777 0 0
"534" 778 0 0
"535" 779 0 0.002269117
"536" 780 0.02881779 0.008849558
"537" 781 0.03766735 0.01134559
"538" 782 0 0.02201044
"539" 783 0 0.002496029
"540" 784 0 0.004538235
"541" 785 0 0.004538235
"542" 786 0 0.007261175
"543" 787 0 0.04538235
"544" 788 0.0002269117 0.0009076469
"545" 789 0 0.0002269117
"546" 790 0.2187429 0.03312911
"547" 791 0.01429544 0.02586794
"548" 792 0 0.007941911
"549" 793 0.006353528 0.02836397
"550" 794 0 0.0002269117
"551" 795 0 0.002042206
"552" 796 0 0.03721352
"553" 797 0 0
"554" 798 0 0.001588382
"555" 799 0 0.00521897
"556" 800 0.007941911 0.005445882
"557" 801 0 0.01611073
"558" 802 0 0.00658044
"559" 803 0 0.001134559
"560" 804 0.04878602 0.2999773
"561" 805 0.02995235 0.03199455
"562" 806 0.03267529 0.04538235
"563" 807 0.001134559 0.02564103
"564" 808 0 0.005672793
"565" 809 0 0.02632176
"566" 810 0 0.01043794
"567" 811 0 0.2128432
"568" 812 0 0.06671205
"569" 813 0 0.02541411
"570" 814 0 0.004538235
"571" 815 0 0.00136147
"572" 816 0 0.006807352
"573" 817 0 0.0002269117
"574" 818 0 0
"575" 819 0 0.03698661
"576" 820 0 0.02450647
"577" 821 0 0
"578" 822 0.0192875 0.03380985
"579" 823 0.04470161 0.07556161
"580" 824 0.04265941 0.04628999
"581" 825 0 0.2541411
"582" 826 0 0.0006807352
"583" 827 0.008849558 0.03358294
"584" 828 0 0.01588382
"585" 829 0.01701838 0.03902882
"586" 830 0 0.001134559
"587" 831 0 0.007034264
"588" 832 0 0.00136147
"589" 833 0.03880191 0.1195825
"590" 834 0 0.01270706
"591" 835 0 0.008395734
"592" 836 0 0.03449058
"593" 837 0 0
"594" 838 0 0.023145
"595" 839 0 0
"596" 840 0 0.002949853
"597" 841 0.001134559 0.2709326
"598" 842 0 0.002496029
"599" 843 0.0002269117 0.01452235
"600" 844 0 0.007714999
"601" 845 0 0
"602" 846 0 0.003857499
"603" 847 0 0.03471749
"604" 848 0.0006807352 0
"605" 849 0 0.0009076469
"606" 850 0 0.006807352
"607" 851 0 0.002269117
"608" 852 0 0.03630588
"609" 853 0 0.0002269117
"610" 854 0.01021103 0.03698661
"611" 855 0 0
"612" 856 0 0.0174722
"613" 857 0 0.01769912
"614" 858 0 0.02087588
"615" 859 0 0.00136147
"616" 860 0 0.003857499
"617" 861 0 0.2747901
"618" 862 0 0.005672793
"619" 863 0.001588382 0.1012026
"620" 864 0.01724529 0.01293397
"621" 865 0 0.003630588
"622" 866 0 0.008622646
"623" 867 0 0.01248015
"624" 868 0 0.0004538235
"625" 869 0 0
"626" 870 0 0.00521897
"627" 871 0 0.02496029
"628" 872 0 0.02019514
"629" 873 0.006353528 0.00136147
"630" 874 0 0.02087588
"631" 875 0 0.04992058
"632" 876 0.002269117 0.009076469
"633" 877 0.001815294 0
"634" 878 0 0.0004538235
"635" 879 0 0.007941911
"636" 880 0 0.01633764
"637" 881 0 0.02791014
"638" 882 0.03993646 0.01248015
"639" 883 0 0.003403676
"640" 884 0.1665532 0.02382573
"641" 885 0 0
"642" 886 0 0.01248015
"643" 887 0 0.002496029
"644" 888 0 0.009303381
"645" 889 0.0006807352 0.04084411
"646" 890 0 0.03154073
"647" 891 0 0.01792603
"648" 892 0 0
"649" 893 0 0.004084411
"650" 894 0.08100749 0.007034264
"651" 895 0 0.04334014
"652" 896 0.0002269117 0.2167007
"653" 897 0.0290447 0.01429544
"654" 898 0 0.0004538235
"655" 899 0.06943499 0.007034264
"656" 900 0.001588382 0
"657" 901 0 0.007488087
"658" 902 0 0
"659" 903 0.01179941 0.005672793
"660" 904 0 0.06171999
"661" 905 0.001815294 0.03539823
"662" 906 0 0.04719764
"663" 907 0.04265941 0.03948264
"664" 908 0 0
"665" 909 0 0.008395734
"666" 910 0.01043794 0
"667" 911 0 0.003176764
"668" 912 0.05377808 0.01293397
"669" 913 0 0.002722941
"670" 914 0.0009076469 0.002042206
"671" 915 0.03222147 0.3222147
"672" 916 0 0
"673" 917 0 0.005445882
"674" 918 0 0.01293397
"675" 919 0.0009076469 0.003630588
"676" 920 0 0.001815294
"677" 921 0 0.004084411
"678" 922 0.09257999 0.03744044
"679" 923 0.2471069 0.2899932
"680" 924 0 0.0009076469
"681" 925 0 0.001134559
"682" 926 0.01883367 0.07079646
"683" 927 0 0.02836397
"684" 928 0.09212616 0.01906059
"685" 929 0 0
"686" 930 0.007941911 0.003176764
"687" 931 0.005445882 0.004538235
"688" 932 0 0.008395734
"689" 933 0.0002269117 0.01248015
"690" 934 0 0.001815294
"691" 935 0 0
"692" 936 0 0.01134559
"693" 937 0 0.04356705
"694" 938 0 0
"695" 939 0 0.01656456
"696" 940 0 0.001134559
"697" 941 0 0.03948264
"698" 942 0 0.001815294
"699" 943 0.07851146 0.2144316
"700" 944 0.008395734 0.01202632
"701" 945 0 0.004538235
"702" 946 0 0.02382573
"703" 947 0 0.001815294
"704" 948 0 0.02609485
"705" 949 0.01611073 0.02246426
"706" 950 0.0192875 0.06512367
"707" 951 0 0.0009076469
"708" 952 0.0002269117 0.0115725
"709" 953 0 0.005445882
"710" 954 0.03086 0.0136147
"711" 955 0 0.02427956
"712" 956 0.003630588 0.0006807352
"713" 957 0 0.004538235
"714" 958 0.02291808 0.0002269117
"715" 959 0 0.05241661
"716" 960 0.008168822 0.01384162
"717" 961 0.01111867 0.0251872
"718" 962 0.02019514 0.03744044
"719" 963 0.0006807352 0.223735
"720" 964 0.0329022 0.07760381
"721" 965 0.2423417 0.01996823
"722" 966 0 0.01293397
"723" 967 0 0
"724" 968 0 0.2430225
"725" 969 0 0.01543
"726" 970 0 0
"727" 971 0.2992966 0.2482414
"728" 972 0.00136147 0.001815294
"729" 973 0.0002269117 0.04697073
"730" 974 0 0
"731" 975 0.02881779 0.002269117
"732" 976 0.007941911 0.03539823
"733" 977 0 0.03358294
"734" 978 0.0004538235 0.004992058
"735" 979 0 0
"736" 980 0.003403676 0.001815294
"737" 981 0 0
"738" 982 0.003403676 0.1005219
"739" 983 0 0.009303381
"740" 984 0.004538235 0.06671205
"741" 985 0 0.002042206
"742" 986 0.0009076469 0.008849558
"743" 987 0 0.001134559
"744" 988 0.01633764 0.06943499
"745" 989 0 0.01043794
"746" 990 0.0542319 0.0329022
"747" 991 0 0.02972544
"748" 992 0 0.3074654
"749" 993 0.003630588 0.01248015
"750" 994 0 0.005672793
"751" 995 0.02337191 0.002269117
"752" 996 0.008168822 0.01792603
"753" 997 0.002269117 0.01520309
"754" 998 0 0.006126617
"755" 999 0.001815294 0.0009076469
"756" 1000 0.00136147 0
"757" 1001 0.01089176 0.01406853
"758" 1002 0 0.0009076469
"759" 1003 0 0.002722941
"760" 1004 0 0.02836397
"761" 1005 0.3485364 0.3514863
"762" 1006 0 0.06262764
"763" 1007 0 0.004538235
"764" 1008 0 0.0004538235
"765" 1009 0 0.009303381
"766" 1010 0 0.006353528
"767" 1011 0 0.003176764
"768" 1012 0 0.007261175
"769" 1013 0.009303381 0.00658044
"770" 1014 0.02359882 0.001134559
"771" 1015 0 0
"772" 1016 0.00136147 0.009530293
"773" 1017 0.04969367 0.06149308
"774" 1018 0.07170411 0.270025
"775" 1019 0 0.01043794
"776" 1020 0 0
"777" 1021 0.01497617 0.02178353
"778" 1022 0.008849558 0.04628999
"779" 1023 0 0.1021103
"780" 1024 0 0
"781" 1025 0 0
"782" 1026 0 0.003857499
"783" 1027 0 0
"784" 1028 0 0
"785" 1029 0.09235307 0.05060132
"786" 1030 0 0.02269117
"787" 1031 0 0
"788" 1032 0 0.1134559
"789" 1033 0 0.002496029
"790" 1034 0.004311323 0.03585205
