"i" "SiZer-0" "SiZer-2"
"471" 471 0 0
"472" 472 0 0
"473" 473 0 0.4155844
"474" 474 0 0.5541126
"475" 475 0.01298701 0.1471861
"476" 476 0 0
"477" 477 0 0.01298701
"478" 478 0.02597403 0.03896104
"479" 479 0 0
"480" 480 0 0
"481" 481 0 0
"482" 482 0 0
"483" 483 0.06493506 0.03896104
"484" 484 0 0
"485" 485 0 0
"486" 486 0 0
"487" 487 0.004329004 0
"488" 488 0 0
"489" 489 0 0.08225108
"490" 490 0 0
"491" 491 0 0
"492" 492 0 0
"493" 493 0 0
"494" 494 0 0
"495" 495 0 0
"496" 496 0.04329004 0.09090909
"497" 497 0 0
"498" 498 0.1515152 0.08225108
"499" 499 0 0
"500" 500 0.01731602 0.03463203
"501" 501 0 0
"502" 502 0 0
"503" 503 0 0.06493506
"504" 504 0 0
"505" 505 0 0
"506" 506 0.3549784 0.1645022
"507" 507 0 0
"508" 508 0 0
"509" 509 0 0.07792208
"510" 510 0 0.004329004
"511" 511 0 0
"512" 512 0.1298701 0.01731602
"513" 513 0 0.05194805
"514" 514 0 0.01731602
"515" 515 0 0
"516" 516 0 0
"517" 517 0 0.004329004
"518" 518 0 0
"519" 519 0 0
"520" 520 0 0.04329004
"521" 521 0 0
"522" 522 0 0.09090909
"523" 523 0 0
"524" 524 0 0
"525" 525 0 0
"526" 526 0 0
"527" 527 0 0
"528" 528 0 0.03030303
"529" 529 0 0
"530" 530 0 0
"531" 531 0 0.004329004
"532" 532 0 0
"533" 533 0 0.02597403
"534" 534 0 0.6017316
"535" 535 0 0
"536" 536 0 0
"537" 537 0 0.5930736
"538" 538 0.04761905 0
"539" 539 0 0.1038961
"540" 540 0 0
"541" 541 0 0
"542" 542 0 0
"543" 543 0 0
"544" 544 0 0
"545" 545 0 0.1645022
"546" 546 0 0
"547" 547 0 0
"548" 548 0 0.07359307
"549" 549 0 0
"550" 550 0 0.05194805
"551" 551 0 0
"552" 552 0.1082251 0
"553" 553 0.004329004 0.0995671
"554" 554 0 0.2467532
"555" 555 0 0
"556" 556 0 0
"557" 557 0 0
"558" 558 0.008658009 0.004329004
"559" 559 0 0
"560" 560 0 0
"561" 561 0 0.004329004
"562" 562 0.1991342 0
"563" 563 0.008658009 0.03896104
"564" 564 0 0
"565" 565 0 0
"566" 566 0.01298701 0
"567" 567 0 0
"568" 568 0 0
"569" 569 0 0
"570" 570 0 0
"571" 571 0 0
"572" 572 0 0
"573" 573 0 0
"574" 574 0 0
"575" 575 0 0
"576" 576 0 0
"577" 577 0 0
"578" 578 0 0
"579" 579 0 0
"580" 580 0 0.1125541
"581" 581 0 0
"582" 582 0.1255411 0
"583" 583 0 0.1904762
"584" 584 0 0
"585" 585 0 0
"586" 586 0 0
"587" 587 0 0.02597403
"588" 588 0 0
"589" 589 0 0
"590" 590 0.008658009 0
"591" 591 0 0
"592" 592 0 0.008658009
"593" 593 0 0
"594" 594 0 0
"595" 595 0 0
"596" 596 0 0.6406926
"597" 597 0 0
"598" 598 0.06493506 0.02597403
"599" 599 0 0
"600" 600 0.01731602 0
"601" 601 0 0
"602" 602 0.1731602 0.07792208
"603" 603 0 0
"604" 604 0 0
"605" 605 0 0
"606" 606 0 0.03463203
"607" 607 0.06926407 0
"608" 608 0 0
"609" 609 0 0
"610" 610 0.1168831 0.4978355
"611" 611 0 0
"612" 612 0 0.07792208
"613" 613 0 0
"614" 614 0.004329004 0
"615" 615 0 0
"616" 616 0 0
"617" 617 0.02597403 0.04761905
"618" 618 0 0
"619" 619 0 0
"620" 620 0 0
"621" 621 0 0
"622" 622 0 0
"623" 623 0.01731602 0.03030303
"624" 624 0 0
"625" 625 0 0
"626" 626 0 0.1601732
"627" 627 0 0
"628" 628 0 0
"629" 629 0 0
"630" 630 0 0
"631" 631 0 0.03896104
"632" 632 0 0
"633" 633 0 0
"634" 634 0.4112554 0.4112554
"635" 635 0 0
"636" 636 0 0
"637" 637 0 0
"638" 638 0 0
"639" 639 0 0.1341991
"640" 640 0 0
"641" 641 0 0
"642" 642 0 0
"643" 643 0 0
"644" 644 0 0.03463203
"645" 645 0 0.02164502
"646" 646 0 0
"647" 647 0 0
"648" 648 0.1038961 0
"649" 649 0 0.02164502
"650" 650 0 0.03463203
"651" 651 0 0
"652" 652 0 0
"653" 653 0 0.02164502
"654" 654 0 0.04761905
"655" 655 0 0
"656" 656 0 0.5887446
"657" 657 0 0.1255411
"658" 658 0.0995671 0.09090909
"659" 659 0 0.2510823
"660" 660 0 0
"661" 661 0.01298701 0.08658009
"662" 662 0.1168831 0.09090909
"663" 663 0 0
"664" 664 0 0
"665" 665 0 0.01731602
"666" 666 0.01298701 0.1082251
"667" 667 0 0
"668" 668 0 0
"669" 669 0 0.0952381
"670" 670 0 0
"671" 671 0 0
"672" 672 0 0
"673" 673 0 0
"674" 674 0 0
"675" 675 0 0.5454545
"676" 676 0 0.03463203
"677" 677 0 0
"678" 678 0 0.0995671
"679" 679 0 0.03896104
"680" 680 0 0.004329004
"681" 681 0 0.04761905
"682" 682 0 0
"683" 683 0 0
"684" 684 0 0
"685" 685 0.01731602 0.01298701
"686" 686 0.02164502 0
"687" 687 0 0.05627706
"688" 688 0 0.03896104
"689" 689 0 0
"690" 690 0 0
