"DIE_Location" "Vth" "F10e4Hz" "F10e3Hz" "F10e2Hz" "Bias_conditions"
"43" "3_m3" 0.434 -2.6754143990575 -0.979400377194164 1.46611260890398 "vd05vg05"
"44" "3_m4" 0.442 -2.75111735846413 -2.39179310754869 1.61610037530768 "vd05vg05"
"45" "4_0" 0.422 -2.8756892864542 -1.29442414980089 1.04947225676329 "vd05vg05"
"46" "4_1" 0.352 -2.82637550367279 -1.62545136328076 0.841580587179319 "vd05vg05"
"47" "4_2" 0.426 -2.71774817481282 -0.975013873105183 1.10484354255221 "vd05vg05"
"48" "4_m1" 0.426 -2.62864931965613 -1.14204256023343 0.792149130965466 "vd05vg05"
"49" "4_m2" 0.418 -2.90847827854715 -1.11683041023434 1.40383737256733 "vd05vg05"
"50" "4_m3" 0.402 -2.66993199796122 -1.05578167022395 1.45035738820223 "vd05vg05"
"51" "5_0" 0.41 -2.94551857843098 -1.71233912123037 0.955396884256114 "vd05vg05"
"52" "5_1" 0.434 -2.60467375164436 -1.43658617767974 1.11722468980299 "vd05vg05"
"53" "5_2" 0.402 -2.94885131254828 -1.39097321961918 1.18187669459437 "vd05vg05"
"55" "5_m2" 0.388 -2.62932114784917 -1.75416413625706 1.55243053224374 "vd05vg05"
"57" "6_0" 0.414 -2.77767985833386 -1.63426695205538 1.23730871753339 "vd05vg05"
"58" "6_m1" 0.43 -2.74730711892652 -0.812408651055115 1.54299537208305 "vd05vg05"
"59" "m1_0" 0.434 -2.83410729636167 -1.44932419320283 0.741982506497525 "vd05vg05"
"60" "m1_1" 0.41 -2.45033348664833 -1.7139717343644 1.12761354234305 "vd05vg05"
"61" "m1_2" 0.392 -2.77968153649087 -1.04866587317464 1.27026488994009 "vd05vg05"
"62" "m1_3" 0.394 -2.27241604381506 -0.168819418808503 2.48098468128712 "vd05vg05"
"63" "m1_4" 0.43 -2.57212070897618 -1.3797621720075 1.09786098607107 "vd05vg05"
"64" "m1_5" 0.366 -2.92711987939241 -0.960003516782773 1.27314039825346 "vd05vg05"
"65" "m1_m1" 0.434 -3.14409163117905 -1.42312362685687 1.27035035524944 "vd05vg05"
"66" "m1_m2" 0.394 -2.53862918422787 -0.959526592567997 1.33507991424698 "vd05vg05"
"67" "m1_m3" 0.414 -3.32548901213138 -1.63584417976556 1.40669801316431 "vd05vg05"
"69" "m1_m5" 0.438 -2.58112034468705 -1.10929676021426 1.53196844823741 "vd05vg05"
"70" "m1_m6" 0.41 -2.63862369222352 -0.983994120917004 1.51319018451373 "vd05vg05"
"71" "m2_0" 0.414 -2.46502075290103 -1.37374082401937 1.13093677279275 "vd05vg05"
"72" "m2_1" 0.422 -2.41371409816285 -0.933181419089895 0.992365928517344 "vd05vg05"
"73" "m2_2" 0.418 -2.58304347877961 -0.788781460548734 1.81668055768323 "vd05vg05"
