"DIE_Location" "Vth" "F10e4Hz" "F10e3Hz" "F10e2Hz" "Bias_cond"
"159" "6_0" 0.414 7.87754e-12 1.95657e-11 2.81381e-10 "vd1vg05"
"160" "6_m1" 0.43 9.22714e-12 2.07295e-11 2.66596e-10 "vd1vg05"
"161" "m1_0" 0.434 9.38046e-12 2.36793e-11 1.92432e-10 "vd1vg05"
"162" "m1_1" 0.41 6.35604e-12 6.44752e-12 1.31356e-10 "vd1vg05"
"163" "m1_2" 0.392 7.32902e-12 1.68912e-11 1.64952e-10 "vd1vg05"
"164" "m1_3" 0.394 1.11169e-11 2.49824e-11 2.35935e-10 "vd1vg05"
"165" "m1_4" 0.43 6.25339e-12 1.53894e-11 1.80504e-10 "vd1vg05"
"166" "m1_5" 0.366 8.9414e-12 2.08992e-11 2.48671e-10 "vd1vg05"
"167" "m1_m1" 0.434 8.69908e-12 1.39131e-11 1.95904e-10 "vd1vg05"
"168" "m1_m2" 0.394 5.7023e-12 3.27283e-11 4.0141e-10 "vd1vg05"
"169" "m1_m3" 0.414 7.19106e-12 1.70272e-11 3.20722e-10 "vd1vg05"
"170" "m1_m4" 0 9.06492e-12 1.07089e-11 4.80677e-10 "vd1vg05"
"171" "m1_m5" 0.438 8.17422e-12 2.56108e-11 4.28944e-10 "vd1vg05"
"172" "m1_m6" 0.41 1.31211e-11 3.82466e-11 6.24837e-10 "vd1vg05"
"173" "m2_0" 0.414 7.63509e-12 9.59088e-12 2.12838e-10 "vd1vg05"
"174" "m2_1" 0.422 1.14224e-11 2.10458e-11 2.24489e-10 "vd1vg05"
"175" "m2_2" 0.418 6.67417e-12 2.32062e-11 1.98237e-10 "vd1vg05"
"176" "m2_3" 0.37 6.06028e-12 1.25693e-11 2.10845e-10 "vd1vg05"
"177" "m2_4" 0.394 7.89839e-12 8.3406e-12 2.19877e-10 "vd1vg05"
"178" "m2_m1" 0.438 9.5768e-12 9.34159e-12 2.49886e-10 "vd1vg05"
"179" "m2_m2" 0.414 1.02836e-11 2.22567e-11 3.60188e-10 "vd1vg05"
"180" "m2_m3" 0.422 7.35963e-12 2.52127e-11 5.96405e-10 "vd1vg05"
"181" "m2_m4" 0.422 4.88867e-12 2.52754e-11 2.95712e-10 "vd1vg05"
"182" "m2_m5" 0 1.29359e-12 2.08499e-12 2.74722e-11 "vd1vg05"
"183" "m3_0" 0 0 0 0 "vd1vg05"
"184" "m3_1" 0 8.10501e-12 1.11795e-11 1.9906e-10 "vd1vg05"
"185" "m3_2" 0.374 1.00545e-11 1.47682e-11 2.65526e-10 "vd1vg05"
"186" "m3_3" 0.41 9.91217e-12 1.99827e-11 1.76591e-10 "vd1vg05"
"187" "m3_m1" 0.43 8.54846e-12 2.44025e-11 2.25814e-10 "vd1vg05"
"188" "m3_m2" 0.426 3.59203e-12 2.04599e-11 3.53621e-10 "vd1vg05"
"189" "m3_m3" 0.422 8.07934e-12 1.28967e-11 2.6765e-10 "vd1vg05"
"190" "m3_m4" 0.418 6.64113e-12 2.08721e-11 1.59686e-10 "vd1vg05"
"191" "m4_0" 0.408 1.24209e-11 2.53228e-11 3.13056e-10 "vd1vg05"
"192" "m4_1" 0.41 9.84329e-12 1.55398e-11 2.26885e-10 "vd1vg05"
"193" "m4_2" 0.394 6.52044e-12 1.82743e-11 5.73527e-10 "vd1vg05"
"194" "m4_m1" 0 1.88909e-12 4.66844e-11 2.88165e-10 "vd1vg05"
"195" "m4_m2" 0.422 1.32666e-11 1.01867e-11 2.21993e-10 "vd1vg05"
"196" "m4_m3" 0.414 5.32226e-12 1.43458e-11 2.26724e-10 "vd1vg05"
"197" "m5_0" 0.422 9.41691e-12 2.61661e-11 4.37521e-10 "vd1vg05"
"198" "m5_1" 0.4 1.66612e-11 1.91433e-11 2.06215e-10 "vd1vg05"
"199" "m5_2" 0.496 1.03405e-11 1.17526e-11 1.95795e-10 "vd1vg05"
"200" "m5_m1" 0.438 1.00994e-11 1.20831e-11 2.04624e-10 "vd1vg05"
"201" "m5_m2" 0.41 4.97378e-12 2.20972e-11 3.32289e-10 "vd1vg05"
"202" "m5_m3" 0 0 0 0 "vd1vg05"
"203" "m6_0" 0.438 6.59225e-12 1.22895e-11 2.05128e-10 "vd1vg05"
"204" "m6_m1" 0.41 1.48924e-11 5.48666e-11 7.76265e-10 "vd1vg05"
"205" "0_0" 0.422 6.90891e-13 1.21721e-12 2.21544e-11 "vd05vg1"
"206" "0_1" 0.414 4.5222e-13 1.77703e-12 7.98444e-12 "vd05vg1"
"207" "0_2" 0.39 5.53421e-13 1.55641e-12 1.32302e-11 "vd05vg1"
"208" "0_3" 0 0 0 0 "vd05vg1"
"209" "0_4" 0 0 0 0 "vd05vg1"
"210" "0_5" 0 0 0 0 "vd05vg1"
"211" "0_6" 0.398 8.5488e-13 1.92152e-12 4.28226e-11 "vd05vg1"
"212" "0_m1" 0.438 5.18675e-13 1.03237e-12 9.57744e-12 "vd05vg1"
"213" "0_m2" 0.394 1.20808e-12 1.11375e-11 2.23076e-10 "vd05vg1"
"214" "0_m3" 0.402 2.88969e-13 1.12231e-12 1.45691e-11 "vd05vg1"
"215" "0_m4" 0.402 1.07733e-12 5.02296e-12 5.60851e-11 "vd05vg1"
"216" "0_m5" 0.434 3.05826e-13 1.02769e-12 1.20146e-11 "vd05vg1"
"217" "0_m6" 0.44 4.12884e-13 2.20057e-12 1.74028e-11 "vd05vg1"
"218" "0_m7" 0.398 6.59421e-13 2.0874e-12 2.43057e-11 "vd05vg1"
"219" "1_0" 0.414 3.22901e-13 9.97919e-13 5.37178e-12 "vd05vg1"
"220" "1_1" 0.418 6.98708e-13 1.58665e-12 1.17838e-11 "vd05vg1"
"221" "1_2" 0.414 5.60107e-13 1.7154e-12 1.57567e-11 "vd05vg1"
"222" "1_3" 0.372 5.8293e-13 2.21756e-12 1.96847e-11 "vd05vg1"
"223" "1_4" 0.394 1.01884e-12 5.08311e-12 1.04804e-10 "vd05vg1"
"224" "1_5" 0.394 7.04715e-13 3.07124e-12 4.37403e-11 "vd05vg1"
"225" "1_m1" 0.434 5.04757e-13 1.17475e-12 9.30736e-12 "vd05vg1"
"226" "1_m2" 0.382 1.11712e-12 5.01742e-12 9.41206e-11 "vd05vg1"
"227" "1_m3" 0.41 4.06512e-13 1.03453e-12 1.42187e-11 "vd05vg1"
"228" "1_m4" 0 0 0 0 "vd05vg1"
"229" "1_m5" 0.446 5.37061e-13 2.05849e-12 9.33929e-12 "vd05vg1"
"230" "1_m6" 0.45 5.59219e-13 2.10278e-12 1.05747e-11 "vd05vg1"
"231" "2_0" 0.392 3.08081e-13 1.0808e-12 6.32031e-12 "vd05vg1"
"232" "2_1" 0.422 4.73987e-13 9.69598e-13 7.09825e-12 "vd05vg1"
"233" "2_2" 0.398 4.84796e-13 1.19002e-12 1.35366e-11 "vd05vg1"
"234" "2_3" 0.398 5.25511e-13 2.22179e-12 1.98915e-11 "vd05vg1"
"235" "2_4" 0 0 0 0 "vd05vg1"
"236" "2_m1" 0.414 5.76318e-13 1.06287e-12 7.3684e-12 "vd05vg1"
"237" "2_m2" 0.418 6.42493e-13 1.12997e-12 1.40639e-11 "vd05vg1"
"238" "2_m3" 0.398 4.51054e-13 1.18254e-12 1.08146e-11 "vd05vg1"
"239" "2_m4" 0.466 4.3546e-12 4.40044e-11 1.10687e-09 "vd05vg1"
"240" "2_m5" 0.446 4.18388e-13 1.77233e-12 1.05181e-11 "vd05vg1"
"241" "3_0" 0.398 3.63128e-13 8.48608e-13 6.96119e-12 "vd05vg1"
"242" "3_1" 0.43 5.95313e-13 9.25191e-13 5.0078e-12 "vd05vg1"
"243" "3_2" 0.418 3.95413e-13 1.20771e-12 1.28127e-11 "vd05vg1"
"244" "3_3" 0.394 6.40421e-13 9.91947e-13 9.80362e-12 "vd05vg1"
"245" "3_m1" 0.498 6.14756e-13 1.27901e-12 1.05856e-11 "vd05vg1"
"246" "3_m2" 0.418 5.36968e-13 3.25777e-12 1.48786e-10 "vd05vg1"
"247" "3_m3" 0.434 5.95438e-13 1.80498e-12 6.04543e-11 "vd05vg1"
"248" "3_m4" 0.442 5.78915e-13 1.02544e-12 7.01604e-12 "vd05vg1"
"249" "4_0" 0.422 4.26618e-13 1.27092e-12 4.75067e-12 "vd05vg1"
"250" "4_1" 0.352 4.3534e-13 9.48183e-13 6.37521e-12 "vd05vg1"
"251" "4_2" 0.426 4.75174e-13 1.41994e-12 1.19362e-11 "vd05vg1"
"252" "4_m1" 0.426 4.54427e-13 1.39711e-12 6.71723e-12 "vd05vg1"
