"DIE_Location" "Vth" "F10e4Hz" "F10e3Hz" "F10e2Hz"
"30" "2_m4" 0.466 -26.0688802828699 -24.0821482591153 -20.8876948247388
"31" "2_m5" 0.446 -25.8032032843902 -24.3507006819722 -21.1197034171547
"32" "3_0" 0.398 -25.5298890243182 -25.5489979096145 -22.3877356024251
"33" "3_1" 0.43 -24.2707881000321 -21.3038703553203 -18.5628712328609
"34" "3_2" 0.418 -25.8729563232246 -24.79854922315 -22.0984105866377
"35" "3_3" 0.394 -25.808800339218 -25.542748681614 -22.6358514674443
"36" "3_m1" 0.498 -25.0538087953565 -24.9234110116547 -21.951732856878
"37" "3_m2" 0.418 -25.8905724851016 -24.1178858966922 -21.3379475530272
"38" "3_m3" 0.434 -26.1154016964171 -25.2202814143923 -22.3026111090733
"39" "3_m4" 0.442 -25.7732788565217 -24.8810551187252 -21.6429749046791
"40" "4_0" 0.422 -25.0717958018982 -25.1494282841086 -22.3458447148993
"41" "4_1" 0.352 -26.3707492669146 -23.9931192165795 -21.274934288783
"42" "4_2" 0.426 -25.5815685314937 -24.5987929921367 -22.1450340195935
"43" "4_m1" 0.426 -25.9329992303493 -24.6275786425047 -22.1513576682082
"44" "4_m2" 0.418 -25.0292355427742 -22.2977324367698 -19.8616129335523
"45" "4_m3" 0.402 -25.6076645937943 -25.137989232107 -22.1779889429883
"46" "5_0" 0.41 -25.57714356638 -24.7816912841432 -22.3607843447084
"47" "5_1" 0.434 -25.7543385597827 -23.2767575842296 -21.1520077603591
"48" "5_2" 0.402 -25.4901646765472 -24.886574699635 -22.0190250369031
"49" "5_m2" 0.388 -25.4638778106308 -23.0427743262033 -21.3536560824512
"50" "6_0" 0.414 -25.5670054435391 -24.6572430827309 -21.9913114930729
"51" "6_m1" 0.43 -25.408871974585 -24.5994633094051 -22.0452867120474
"52" "m1_0" 0.434 -25.3923923136011 -24.4664198671605 -22.3712782713603
"53" "m1_1" 0.41 -25.7816155740077 -25.7673255551825 -22.753109921358
"54" "m1_2" 0.392 -25.6391793061033 -24.8042283396753 -22.5253665934411
"55" "m1_3" 0.394 -25.2225546429501 -24.4128495389847 -22.1674647725678
"56" "m1_4" 0.43 -25.7978973992259 -24.8973421551925 -22.4352681777363
"57" "m1_5" 0.366 -25.440328939451 -24.5913102352023 -22.1148903782713
"58" "m1_m1" 0.434 -25.4678038429861 -24.9981902735722 -22.3533963726056
"59" "m1_m2" 0.394 -25.8901515137039 -24.1427809688805 -21.6360377670714
"60" "m1_m3" 0.414 -25.65818252808 -24.7962090505086 -21.8604464116447
"61" "m1_m5" 0.438 -25.5300358165414 -24.3880069784073 -21.5696947416516
"62" "m1_m6" 0.41 -25.0567994944637 -23.9869664484957 -21.1935303002064
"63" "m2_0" 0.414 -25.5982663895082 -25.3702084689908 -22.2704898029745
"64" "m2_1" 0.422 -25.1954447761625 -24.5843201006485 -22.2171944077195
"65" "m2_2" 0.418 -25.7327762639429 -24.4866016315796 -22.3415578313341
"66" "m2_3" 0.37 -25.8292651122943 -25.0997637830234 -22.2798978495576
"67" "m2_4" 0.394 -25.5643621746935 -25.5098859596996 -22.2379528168349
"68" "m2_m1" 0.438 -25.3716776089735 -25.3965446426302 -22.1100163020659
"69" "m2_m2" 0.414 -25.3004707226528 -24.5283780290494 -21.7443949985667
"70" "m2_m3" 0.422 -25.6350114561906 -24.4036732801066 -21.240101149438
"71" "m2_m4" 0.422 -26.0441008330761 -24.4011895252323 -21.9416351082229
"72" "m3_2" 0.374 -25.3230008204446 -24.9385448954645 -22.0493083516043
"73" "m3_3" 0.41 -25.3372578208206 -24.6361542167029 -22.4571847916847
"74" "m3_m1" 0.43 -25.485269966162 -24.4363355298616 -22.2113094643635
"75" "m3_m2" 0.426 -26.3523036136304 -24.6125542430025 -21.7627953977883
"76" "m3_m3" 0.422 -25.5417109299001 -25.0740496512404 -22.0413409590892
"77" "m3_m4" 0.418 -25.7377389861964 -24.5926077769979 -22.557811728921
"78" "m4_0" 0.408 -25.1116405782805 -24.3993159402484 -21.8846390276535
"79" "m4_1" 0.41 -25.3442311111533 -24.8876166410847 -22.2065778347458
"80" "m4_2" 0.394 -25.7560792576044 -24.7255254147199 -21.2792161011299
"81" "m4_m2" 0.422 -25.0457715174445 -25.3099381680524 -22.2283752660849
"82" "m4_m3" 0.414 -25.959123090752 -24.9675638994898 -22.2072876972343
"83" "m5_0" 0.422 -25.3885141066301 -24.3665564360937 -21.5498964112828
"84" "m5_1" 0.4 -24.8179384529723 -24.6790683309722 -22.3021018020836
"85" "m5_2" 0.496 -25.294952892118 -25.1669466232207 -22.3539529224197
"86" "m5_m1" 0.438 -25.3185450997865 -25.1392133338273 -22.3098469672376
"87" "m5_m2" 0.41 -26.0268410015215 -24.5355702122641 -21.825016043734
"88" "m6_0" 0.438 -25.7451263992832 -25.1222758766607 -22.3073869413967
"89" "m6_m1" 0.41 -24.9301701002197 -23.6261163314213 -20.9765271591961
