"DIE_Location" "Vth" "F10e4Hz" "F10e3Hz" "F10e2Hz"
"169" "m4_2" 0.394 0.423240492835568 1.45379433572008 4.90010364931005
"170" "m4_m2" 0.422 1.13354823299544 0.869381582387582 3.95094448435504
"171" "m4_m3" 0.414 0.220196659687961 1.21175585095021 3.97203205320571
"172" "m5_0" 0.422 0.790805643809858 1.81276331434622 4.62942333915712
"173" "m5_1" 0.4 1.36138129746769 1.50025141946778 3.87721794835635
"174" "m5_2" 0.496 0.884366858322011 1.01237312721927 3.82536682802028
"175" "m5_m1" 0.438 0.860774650653436 1.04010641661272 3.86947278320238
"176" "m5_m2" 0.41 0.152478748918476 1.64374953817583 4.35430370670595
"177" "m6_0" 0.438 0.434193351156743 1.05704387377926 3.87193280904324
"178" "m6_m1" 0.41 1.24914965022025 2.55320341901871 5.2027925912439
