"DIE" "lognoise" "Vth" "Freq" "biasCond"
"137" "5_2" 4.16029471353691 0.402 100 "vd1vg05"
"138" "5_m2" 4.82566366798875 0.388 100 "vd1vg05"
"139" "6_0" 4.18800825736703 0.414 100 "vd1vg05"
"140" "6_m1" 4.13403303839253 0.43 100 "vd1vg05"
"141" "m1_0" 3.80804147907968 0.434 100 "vd1vg05"
"142" "m1_1" 3.42620982908199 0.41 100 "vd1vg05"
"143" "m1_2" 3.65395315699883 0.392 100 "vd1vg05"
"144" "m1_3" 4.01185497787213 0.394 100 "vd1vg05"
"145" "m1_4" 3.74405157270363 0.43 100 "vd1vg05"
"146" "m1_5" 4.06442937216869 0.366 100 "vd1vg05"
"147" "m1_m1" 3.82592337783436 0.434 100 "vd1vg05"
"148" "m1_m2" 4.54328198336852 0.394 100 "vd1vg05"
"149" "m1_m3" 4.3188733387953 0.414 100 "vd1vg05"
"150" "m1_m5" 4.60962500878832 0.438 100 "vd1vg05"
"151" "m1_m6" 4.98578945023359 0.41 100 "vd1vg05"
"152" "m2_0" 3.9088299474655 0.414 100 "vd1vg05"
"153" "m2_1" 3.96212534272047 0.422 100 "vd1vg05"
"154" "m2_2" 3.83776191910583 0.418 100 "vd1vg05"
"155" "m2_3" 3.89942190088238 0.37 100 "vd1vg05"
"156" "m2_4" 3.94136693360509 0.394 100 "vd1vg05"
"157" "m2_m1" 4.06930344837405 0.438 100 "vd1vg05"
"158" "m2_m2" 4.43492475187323 0.414 100 "vd1vg05"
"159" "m2_m3" 4.939218601002 0.422 100 "vd1vg05"
"160" "m2_m4" 4.23768464221705 0.422 100 "vd1vg05"
"161" "m3_2" 4.13001139883565 0.374 100 "vd1vg05"
"162" "m3_3" 3.72213495875523 0.41 100 "vd1vg05"
"163" "m3_m1" 3.96801028607643 0.43 100 "vd1vg05"
"164" "m3_m2" 4.41652435265171 0.426 100 "vd1vg05"
"165" "m3_m3" 4.13797879135081 0.422 100 "vd1vg05"
"166" "m3_m4" 3.62150802151895 0.418 100 "vd1vg05"
"167" "m4_0" 4.29468072278643 0.408 100 "vd1vg05"
"168" "m4_1" 3.97274191569415 0.41 100 "vd1vg05"
"169" "m4_2" 4.90010364931005 0.394 100 "vd1vg05"
"170" "m4_m2" 3.95094448435504 0.422 100 "vd1vg05"
"171" "m4_m3" 3.97203205320571 0.414 100 "vd1vg05"
"172" "m5_0" 4.62942333915712 0.422 100 "vd1vg05"
"173" "m5_1" 3.87721794835635 0.4 100 "vd1vg05"
"174" "m5_2" 3.82536682802028 0.496 100 "vd1vg05"
"175" "m5_m1" 3.86947278320238 0.438 100 "vd1vg05"
"176" "m5_m2" 4.35430370670595 0.41 100 "vd1vg05"
"177" "m6_0" 3.87193280904324 0.438 100 "vd1vg05"
"178" "m6_m1" 5.2027925912439 0.41 100 "vd1vg05"
"179" "0_0" 1.64633475687333 0.422 100 "vd05vg1"
"180" "0_1" 0.62579328222251 0.414 100 "vd05vg1"
"181" "0_2" 1.13080072968199 0.39 100 "vd05vg1"
"182" "0_6" 2.30536463511966 0.398 100 "vd05vg1"
"183" "0_m1" 0.807708967401609 0.438 100 "vd05vg1"
"184" "0_m2" 3.95581115508485 0.394 100 "vd05vg1"
"185" "0_m3" 1.2272014820488 0.402 100 "vd05vg1"
"186" "0_m4" 2.57516881461495 0.402 100 "vd05vg1"
"187" "0_m5" 1.03442121142698 0.434 100 "vd05vg1"
"188" "0_m6" 1.40492974732597 0.44 100 "vd05vg1"
"189" "0_m7" 1.73900952525241 0.398 100 "vd05vg1"
"190" "1_0" 0.22945795924371 0.414 100 "vd05vg1"
"191" "1_1" 1.01502434136207 0.418 100 "vd05vg1"
"192" "1_2" 1.30556430615288 0.414 100 "vd05vg1"
"193" "1_3" 1.52814031876051 0.372 100 "vd05vg1"
"194" "1_4" 3.20039057360891 0.394 100 "vd05vg1"
"195" "1_5" 2.32656850844708 0.394 100 "vd05vg1"
"196" "1_m1" 0.779104119529933 0.434 100 "vd05vg1"
"197" "1_m2" 3.09287557319089 0.382 100 "vd05vg1"
"198" "1_m3" 1.20285663417294 0.41 100 "vd05vg1"
"199" "1_m5" 0.7825288667321 0.446 100 "vd05vg1"
"200" "1_m6" 0.906762990247032 0.45 100 "vd05vg1"
"201" "2_0" 0.392066892100154 0.392 100 "vd05vg1"
"202" "2_1" 0.508146909304539 0.422 100 "vd05vg1"
"203" "2_2" 1.15369576263404 0.398 100 "vd05vg1"
"204" "2_3" 1.53859113931505 0.398 100 "vd05vg1"
"205" "2_m1" 0.545499220807343 0.414 100 "vd05vg1"
"206" "2_m2" 1.19190986507629 0.418 100 "vd05vg1"
"207" "2_m3" 0.9291957075644 0.398 100 "vd05vg1"
"208" "2_m4" 5.5575901258164 0.466 100 "vd05vg1"
"209" "2_m5" 0.901396217144306 0.446 100 "vd05vg1"
"210" "3_0" 0.488649071254336 0.398 100 "vd05vg1"
"211" "3_1" 0.15929533140951 0.43 100 "vd05vg1"
